war_name,ccode,name,start_year,end_year,deaths,latitude,longitude
First Carlist War,220,France,1835,1839,7701,46,2
First Carlist War,200,United Kingdom,1835,1837,2501,54.75844,-2.69531
Texan,70,Mexico,1835,1836,1501,19.42847,-99.12766
Third Murid,365,Russia,1836,1852,15001,60,100
Sabinada Rebellion,140,Brazil,1837,1838,601,-10,-55
"Second Syrian, Phase 2",200,United Kingdom,1840,1840,15,54.75844,-2.69531
Second Carlist,230,Spain,1847,1849,3001,40,-4
Second French Insurrection,220,France,1848,1848,1201,46,2
Hungarian,365,Russia,1849,1849,14501,60,100
Puebla War,70,Mexico,1855,1856,601,19.42847,-99.12766
"Taiping Rebellion, Phase 2",710,China,1860,1866,26001,35,105
"Taiping Rebellion, Phase 2",200,United Kingdom,1862,1862,26,54.75844,-2.69531
U.S. Civil War,2,United States,1861,1865,360001,39.76,-98.5
Second Polish,365,Russia,1863,1864,10001,60,100
Queretaro,70,Mexico,1867,1867,1501,19.42847,-99.12766
Paris Commune,220,France,1871,1871,880,46,2
Third Carlist,230,Spain,1872,1876,7001,40,-4
Diaz Revolt,70,Mexico,1876,1876,1901,19.42847,-99.12766
Satsuma Rebellion,740,Japan,1877,1877,7001,35.68536,139.75309
Zaili-Jinden Revolt,710,China,1891,1891,501,35,105
Brazil Federalists,140,Brazil,1893,1894,1501,-10,-55
Brazil Naval,140,Brazil,1893,1894,1001,-10,-55
Third Brazil-Canudos,140,Brazil,1896,1897,2201,-10,-55
Second Yaqui War,70,Mexico,1899,1900,101,19.42847,-99.12766
Bloody Sunday,365,Russia,1905,1906,1501,60,100
Overthrow of Abd el-Aziz,220,France,1907,1908,201,46,2
Iranian Constitution War,365,Russia,1909,1909,101,60,100
Third Mexican,70,Mexico,1910,1914,56251,19.42847,-99.12766
First Nationalist,710,China,1911,1911,801,35,105
Fourth Mexican,2,United States,1915,1917,16,39.76,-98.5
Fourth Mexican,70,Mexico,1914,1920,18751,19.42847,-99.12766
Russia-Turkestan,365,Russia,1916,1917,351,60,100
Russian Civil War,740,Japan,1918,1920,1492,35.68536,139.75309
Russian Civil War,365,Russia,1917,1921,475001,60,100
Russian Civil War,200,United Kingdom,1918,1920,342,54.75844,-2.69531
Russian Civil War,2,United States,1918,1920,267,39.76,-98.5
Russian Civil War,220,France,1918,1919,42,46,2
Finnish Civil War,255,Germany,1918,1918,951,51.5,10.5
Finnish Civil War,365,Russia,1918,1918,392,60,100
Green Rebellion,365,Russia,1920,1921,1701,60,100
Kronstadt Rebellion,365,Russia,1921,1921,2001,60,100
Bashmachi in Turkestan,365,Russia,1921,1923,1001,60,100
Chinese Northern Expedition,710,China,1926,1928,78001,35,105
Chinese Northern Expedition,740,Japan,1927,1928,492,35.68536,139.75309
Cristeros Revolt,70,Mexico,1926,1929,6001,19.42847,-99.12766
Escobar Rebellion,70,Mexico,1929,1929,401,19.42847,-99.12766
Ikhwan Revolt,670,Saudi Arabia,1929,1930,501,25,45
"Chinese Civil War, Phase 1",710,China,1930,1936,200001,35,105
Xinjiang Muslim Revolt,365,Russia,1934,1934,1001,60,100
Xinjiang Muslim Revolt,710,China,1931,1934,10001,35,105
Spanish Miners,230,Spain,1934,1934,285,40,-4
Spanish Civil War,230,Spain,1936,1939,286001,40,-4
Spanish Civil War,255,Germany,1936,1939,292,51.5,10.5
Spanish Civil War,325,Italy,1936,1939,3992,42.83333,12.83333
Greek Civil War,200,United Kingdom,1944,1945,238,54.75844,-2.69531
Polish Ukrainians,365,Russia,1945,1947,5001,60,100
Ukrainian Partisans,365,Russia,1945,1947,35001,60,100
Forest Brethren,365,Russia,1945,1951,14701,60,100
"Chinese Civil War, Phase 2",710,China,1946,1950,327601,35,105
Taiwan Revolt,710,China,1947,1947,251,35,105
Indonesia Darul Islam,850,Indonesia,1953,1953,1701,-5,120
Tibetan Khamba Rebellion,710,China,1956,1959,4001,35,105
Indonesian Leftists,850,Indonesia,1956,1962,3701,-5,120
Vietnam Phase 1,2,United States,1961,1965,507,39.76,-98.5
Second Laotian Phase 1,2,United States,1964,1968,201,39.76,-98.5
Dominican Republic,2,United States,1965,1965,28,39.76,-98.5
First Guatemala,2,United States,1966,1968,29,39.76,-98.5
First Chad (FROLINAT) Rebellion,220,France,1968,1971,51,46,2
Naxalite Rebellion,750,India,1970,1971,101,22,79
Khmer Rouge,2,United States,1971,1973,376,39.76,-98.5
Dhofar Rebellion Phase 2,200,United Kingdom,1973,1975,36,54.75844,-2.69531
Second West Papua,850,Indonesia,1976,1978,101,-5,120
East Timorese War Phase 3,850,Indonesia,1976,1979,1801,-5,120
First Afghan Mujahideen Uprising,365,Russia,1979,1980,2001,60,100
Second Chad (Habre Revolt),220,France,1983,1984,192,46,2
Fourth Lebanese Civil,2,United States,1983,1984,274,39.76,-98.5
Fourth Lebanese Civil,220,France,1983,1984,96,46,2
First Sri Lanka Tamil,750,India,1987,1990,1156,22,79
Kashmir Insurgents,750,India,1990,2005,6001,22,79
Second Somalia,2,United States,1992,1994,45,39.76,-98.5
First Chechnya,365,Russia,1994,1996,4001,60,100
Second Aceh,850,Indonesia,1999,2002,331,-5,120
Second Chechen,365,Russia,1999,2003,5001,60,100
Third Aceh,850,Indonesia,2003,2003,151,-5,120
